n,avg,var
50,0.59,1.09
100,0.50,0.83
150,0.30,0.38
200,0.25,0.28
250,0.29,0.37
300,0.22,0.29
350,0.18,0.20
400,0.22,0.24
450,0.24,0.28
500,0.26,0.32
550,0.28,0.37
600,0.23,0.34
650,0.15,0.19
700,0.17,0.18
750,0.19,0.20
800,0.20,0.22
850,0.21,0.23
900,0.22,0.25
950,0.23,0.27
1000,0.23,0.29
1050,0.24,0.31
1100,0.25,0.34
1150,0.26,0.36
1200,0.28,0.39
1250,0.27,0.39
1300,0.18,0.28
1350,0.13,0.17
1400,0.16,0.17
1450,0.17,0.19
1500,0.18,0.19
1550,0.18,0.20
1600,0.19,0.21
1650,0.19,0.21
1700,0.20,0.22
1750,0.20,0.23
1800,0.20,0.24
1850,0.21,0.25
1900,0.21,0.26
1950,0.22,0.27
2000,0.22,0.28
2050,0.23,0.28
2100,0.23,0.30
2150,0.23,0.30
2200,0.24,0.32
2250,0.24,0.33
2300,0.25,0.34
2350,0.25,0.36
2400,0.26,0.37
2450,0.27,0.38
2500,0.27,0.40
2550,0.28,0.41
2600,0.28,0.42
2650,0.27,0.41
2700,0.22,0.34
2750,0.17,0.24
2800,0.15,0.19
2850,0.16,0.18
2900,0.17,0.18
2950,0.17,0.18
3000,0.18,0.19
3050,0.18,0.19
3100,0.18,0.19
3150,0.18,0.20
3200,0.18,0.20
3250,0.18,0.20
3300,0.19,0.21
3350,0.19,0.21
3400,0.19,0.22
3450,0.19,0.22
3500,0.20,0.23
3550,0.20,0.23
3600,0.20,0.23
3650,0.20,0.24
3700,0.20,0.24
3750,0.21,0.25
3800,0.21,0.25
3850,0.21,0.25
3900,0.21,0.26
3950,0.21,0.26
4000,0.22,0.27
4050,0.22,0.27
4100,0.22,0.28
4150,0.22,0.29
4200,0.23,0.29
4250,0.23,0.30
4300,0.23,0.30
4350,0.23,0.31
4400,0.23,0.31
4450,0.24,0.32
4500,0.24,0.32
4550,0.24,0.33
4600,0.24,0.33
4650,0.25,0.34
4700,0.25,0.35
4750,0.25,0.35
4800,0.25,0.36
4850,0.26,0.37
4900,0.26,0.37
4950,0.26,0.38
5000,0.26,0.38
5050,0.27,0.39
5100,0.27,0.40
5150,0.27,0.41
5200,0.28,0.42
5250,0.28,0.42
5300,0.28,0.43
5350,0.28,0.44
5400,0.28,0.44
5450,0.27,0.43
5500,0.26,0.40
5550,0.22,0.34
5600,0.19,0.27
5650,0.17,0.22
5700,0.16,0.19
5750,0.16,0.18
5800,0.17,0.18
5850,0.17,0.18
5900,0.17,0.18
5950,0.17,0.18
6000,0.17,0.18
6050,0.17,0.19
6100,0.18,0.19
6150,0.18,0.19
6200,0.18,0.19
6250,0.18,0.19
6300,0.18,0.20
6350,0.18,0.20
6400,0.18,0.20
6450,0.18,0.20
6500,0.18,0.20
6550,0.19,0.21
6600,0.18,0.21
6650,0.19,0.21
6700,0.19,0.21
6750,0.19,0.21
6800,0.19,0.21
6850,0.19,0.22
6900,0.19,0.22
6950,0.19,0.22
7000,0.19,0.22
7050,0.19,0.22
7100,0.20,0.23
7150,0.20,0.23
7200,0.20,0.23
7250,0.20,0.23
7300,0.20,0.23
7350,0.20,0.24
7400,0.20,0.24
7450,0.20,0.24
7500,0.20,0.24
7550,0.20,0.25
7600,0.20,0.25
7650,0.21,0.25
7700,0.21,0.25
7750,0.21,0.25
7800,0.21,0.26
7850,0.21,0.26
7900,0.21,0.26
7950,0.21,0.26
8000,0.21,0.26
8050,0.21,0.27
8100,0.22,0.27
8150,0.22,0.27
8200,0.22,0.27
8250,0.22,0.28
8300,0.22,0.28
8350,0.22,0.28
8400,0.22,0.29
8450,0.22,0.29
8500,0.22,0.29
8550,0.22,0.29
8600,0.23,0.30
8650,0.23,0.30
8700,0.23,0.30
8750,0.23,0.31
8800,0.23,0.30
8850,0.23,0.31
8900,0.23,0.31
8950,0.23,0.31
9000,0.24,0.32
9050,0.24,0.32
9100,0.24,0.32
9150,0.24,0.32
9200,0.24,0.33
9250,0.24,0.33
9300,0.24,0.34
9350,0.24,0.34
9400,0.25,0.34
9450,0.25,0.34
9500,0.25,0.35
9550,0.25,0.35
9600,0.25,0.36
9650,0.25,0.36
9700,0.25,0.36
9750,0.25,0.36
9800,0.26,0.37
9850,0.26,0.37
9900,0.26,0.37
9950,0.26,0.38
10000,0.26,0.38
10050,0.26,0.38
10100,0.26,0.39
10150,0.26,0.39
10200,0.27,0.40
10250,0.27,0.40
10300,0.27,0.41
10350,0.27,0.41
10400,0.27,0.41
10450,0.27,0.42
10500,0.27,0.42
10550,0.28,0.42
10600,0.28,0.43
10650,0.28,0.43
10700,0.28,0.43
10750,0.28,0.44
10800,0.28,0.44
10850,0.28,0.45
10900,0.29,0.45
10950,0.28,0.45
11000,0.29,0.45
11050,0.29,0.45
11100,0.28,0.45